DateTime of Tweet,Replying to,Tweet,Likes,Retweet,Image
13/11/2022 15:27:01,81,I’ll paraphrase:Senator: Someone impersonated me on twitter and I’m a government official. That’s bad. Please address this Elon.Musk: Fuck you.(It’s not hard imagine why advertisers are spooked),2625,552,https://pbs.twimg.com/media/FhdDNx0UcAAj1_Z?format=jpg&name=small
14/11/2022 09:22:01,1,"I’ve been a fan of you since the pandemic @elonmuskwith what has happened to my primary account, i don’t like the way things are being handledi use Twitter to work, connect with fellow enthusiasts, and have fun with no wrong doing from me, i’ve been stripped off it all",8,13,
11/11/2022 20:07:38,2607,Can Elon Musk buy and destroy Fox News next?,219000,3006,
14/11/2022 07:04:32,85,Elon Musk is still bullish on #Bitcoin.,732,74,
14/11/2022 09:38:07,3,did you notice that since @elonmusk owns twitter. Twitter got slow ?,85,75,
12/11/2022 22:33:02,83,"Elon Musk seems very determined to teach people that billionaires aren't any smarter than anyone else, that concentrations of wealth are bad for society and democracy, and that if millions of people band together we can kick billionaires' asses.",8477,1527,
14/11/2022 07:33:25,0,Otra cagada de @elonmusk,4,2,
14/11/2022 09:15:07,0,Notas de voz están ya disponibles en Twitter. Gracias a @elonmusk para esto.▶︎ ●────────── 0:30,2,0,
14/11/2022 07:45:51,0,"Elon Musk: Las lanzaderas espaciales pueden convertir a la humanidad en ""una especie multiplanetaria""",1,0,
14/11/2022 10:15:35,0,Bajo la administración de Elon Musk ya ha sido despedido el 80% de los empleados de Twitter https://ift.tt/9KnLNzR Nicolás Verdejo #SocialMedia,0,0,
14/11/2022 08:11:10,0,Elon Musk propone en el G20 cohetes espaciales para dar la vuelta al mundo en 45 minutos,0,0,
14/11/2022 08:15:53,31,"Finally official, Non verified account to pay 3$ per month. Elon musk why?",320,141,
10/11/2022 13:02:50,56,"Elon Musk: ""Twitter needs to become by far the most accurate source of information about the world.""Twitter:",5321,657,https://pbs.twimg.com/media/FhNFN_wWIAsWR0C?format=jpg&name=small
14/11/2022 09:48:45,4,A total of 147 sackings and resignations THIS YEAR ALONE. You cannot run a country like that. The Tories are the Musk-Twitter-Takeover of politics. ~AA (Source: https://inews.co.uk/news/politics/tory-turmoil-147-resignations-sackings-2022-1965292…),121,77,https://pbs.twimg.com/media/Fhg_YEnXkAAt_uV?format=jpg&name=900x900
14/11/2022 06:36:16,1062,"BTC will make it, but might be a long winter",127000,3418,
14/11/2022 09:16:33,17,"Worried about Bitcoin this week? At least @ElonMusk believes BTC ""will make it.""",136,38,
13/11/2022 15:36:20,22,"Elon Musk, the real @ElonMusk, lost his official verification on Twitter and now only has the Twitter Blue checkmarkThat makes his account indistinguishable from every other fake Twitter Blue verified celebrity right now",798,124,https://pbs.twimg.com/media/FhdFWSFXEAAnAKR?format=jpg&name=900x900
14/11/2022 09:13:27,8,Have y'all noticed that since Elon Musk took over Twitter we haven't received an app update?,102,84,
14/11/2022 08:36:27,2,I never see this kain thing #instablog Nigeria Davido dog pound #doggy #elon musk,10,5,
14/11/2022 08:22:23,9,"NEW  Elon Musk sees aliens, underground tunnels in a candlelit G20 vision of the future",114,53,
14/11/2022 07:20:07,16,Elon Musk is literally starving his staff,17,1,https://pbs.twimg.com/media/FhgdXPwWYAAyy5U?format=jpg&name=small
12/11/2022 19:54:01,344,Taunting opponents. Treating employees like dung. Demeaning critics. Craving attention. Refusing to be held accountable. Spreading misleading information. Making gobs of money.Musk is a narcissist.The last time the world gave in to megalomaniacs it did not end well.,3972,1228,
14/11/2022 07:40:45,1468,Something tells me this would work,185000,1255,
14/11/2022 08:42:08,0,BREAKING: Elon Musk invents the taxi,3,0,https://pbs.twimg.com/media/FhgwIkfXoAQ1BAA?format=jpg&name=small
14/11/2022 07:18:39,26,CZ & Elon Musk are trying to give confidence  to the industry builders/players #BTC,94,20,https://pbs.twimg.com/media/FhgdA4baYAA9kzn?format=jpg&name=360x360
